second,V_supply,V_in,I_other,I_in
+1.557753E+00,+0.0E+00,+2.443515E+00,+1.339E-03,-33.473E-03
+1.565503E+00,+0.0E+00,+2.476987E+00,-0.0E+00,-0.0E+00
+1.573253E+00,+0.0E+00,+2.443515E+00,-2.678E-03,-33.473E-03
+1.581003E+00,-0.0E+00,+2.476987E+00,-669E-06,-0.0E+00
+1.588753E+00,-66.946E-03,+2.510460E+00,-0.0E+00,-33.473E-03
+1.596503E+00,+0.0E+00,+2.476987E+00,-669E-06,-33.473E-03
+1.604253E+00,+0.0E+00,+2.476987E+00,-669E-06,-0.0E+00
+1.612003E+00,-0.0E+00,+2.443515E+00,+2.008E-03,-33.473E-03
+1.619753E+00,-66.946E-03,+2.476987E+00,+669E-06,-33.473E-03
+1.627503E+00,+0.0E+00,+2.476987E+00,+669E-06,-0.0E+00
+1.635253E+00,+0.0E+00,+2.443515E+00,-669E-06,-33.473E-03
+1.643003E+00,-0.0E+00,+2.476987E+00,+669E-06,+0.0E+00
+1.650753E+00,-66.946E-03,+2.443515E+00,+669E-06,-0.0E+00
+1.658503E+00,-66.946E-03,+2.443515E+00,-1.339E-03,-33.473E-03
+1.666253E+00,+0.0E+00,+2.443515E+00,-2.008E-03,-33.473E-03
+1.674003E+00,+0.0E+00,+2.476987E+00,-0.0E+00,-33.473E-03
+1.681753E+00,-0.0E+00,+2.476987E+00,-1.339E-03,-33.473E-03
+1.689503E+00,-66.946E-03,+2.443515E+00,-0.0E+00,+33.473E-03
+1.697253E+00,-0.0E+00,+2.510460E+00,-669E-06,+33.473E-03
+1.705003E+00,-66.946E-03,+2.476987E+00,+2.008E-03,-0.0E+00
+1.712753E+00,-0.0E+00,+2.476987E+00,-2.678E-03,-33.473E-03
+1.720503E+00,-66.946E-03,+2.443515E+00,+669E-06,+0.0E+00
+1.728253E+00,+0.0E+00,+2.443515E+00,-669E-06,-0.0E+00
+1.736003E+00,+0.0E+00,+2.443515E+00,-669E-06,-33.473E-03
+1.743753E+00,+0.0E+00,+2.476987E+00,-669E-06,-0.0E+00
+1.751504E+00,+0.0E+00,+2.443515E+00,-669E-06,-33.473E-03
+1.759254E+00,+0.0E+00,+2.443515E+00,+669E-06,-33.473E-03
+1.767004E+00,+0.0E+00,+2.443515E+00,-669E-06,-33.473E-03
+1.774754E+00,+0.0E+00,+2.443515E+00,-1.339E-03,+0.0E+00
+1.782504E+00,+0.0E+00,+2.476987E+00,-669E-06,-0.0E+00
+1.790254E+00,-0.0E+00,+2.410042E+00,-1.339E-03,-33.473E-03
+1.798004E+00,-66.946E-03,+2.476987E+00,-2.678E-03,+33.473E-03
+1.805754E+00,-0.0E+00,+2.476987E+00,+669E-06,-0.0E+00
+1.813504E+00,-66.946E-03,+2.443515E+00,+0.0E+00,-33.473E-03
+1.821254E+00,-66.946E-03,+2.476987E+00,-0.0E+00,-33.473E-03
+1.829004E+00,+0.0E+00,+2.443515E+00,-2.008E-03,-33.473E-03
